Kepler_ID,Metalicidad,Clasificacion,incert_clas
10797460,0.136,CANDIDATE,1.0
10811496,-0.127,FALSE POSITIVE,0.0
10848459,-0.522,FALSE POSITIVE,0.0
10854555,0.081,CANDIDATE,1.0
10872983,-0.067,CANDIDATE,0.992
6721123,-0.131,FALSE POSITIVE,0.0
6922244,-0.128,CANDIDATE,0.998
10984090,-0.590,CANDIDATE,1.0
10464078,-0.559,FALSE POSITIVE,0.0
10485250,-0.202,FALSE POSITIVE,0.0
10526549,-0.305,CANDIDATE,1.0
10583180,0.108,FALSE POSITIVE,0.0
10601284,-0.145,CANDIDATE,0.98
2306756,0.100,FALSE POSITIVE,
10682541,0.178,CANDIDATE,1.0
11460018,-0.142,CANDIDATE,1.0
11463211,-0.168,FALSE POSITIVE,0.0
11465813,-0.112,FALSE POSITIVE,0.0
11493732,0.001,FALSE POSITIVE,0.0
11507101,0.049,CANDIDATE,1.0
10910878,-0.109,CANDIDATE,1.0
10987985,0.089,CANDIDATE,1.0
11018648,-0.291,CANDIDATE,1.0
11138155,0.010,CANDIDATE,1.0
11152159,-0.036,FALSE POSITIVE,0.0
11153539,-0.110,CANDIDATE,1.0
11391957,-0.286,CANDIDATE,1.0
11403044,0.116,CANDIDATE,1.0
11414511,0.023,CANDIDATE,1.0
11442465,-0.221,FALSE POSITIVE,0.0
12110942,-0.037,CANDIDATE,1.0
11656840,-0.308,FALSE POSITIVE,0.014
11754553,-0.289,CANDIDATE,1.0
11812062,-0.098,CANDIDATE,1.0
11818800,-0.560,CANDIDATE,0.999
11853255,-0.144,CANDIDATE,1.0
11909839,-0.550,FALSE POSITIVE,0.0
9579641,-0.219,CANDIDATE,0.871
11923270,0.318,CANDIDATE,1.0
11960862,-0.313,CANDIDATE,1.0
12020329,0.208,CANDIDATE,1.0
12070811,-0.399,CANDIDATE,1.0
3120431,-0.011,FALSE POSITIVE,0.0
3246984,-0.185,CANDIDATE,0.773
12459725,-0.052,FALSE POSITIVE,
12470844,-0.067,CANDIDATE,1.0
12644822,-0.006,CANDIDATE,1.0
2440757,-0.464,FALSE POSITIVE,0.0
2713049,-0.099,CANDIDATE,1.0
3114167,-0.818,CANDIDATE,1.0
3115833,-0.518,CANDIDATE,1.0
4275191,-0.285,CANDIDATE,1.0
3351888,0.182,CANDIDATE,1.0
3453214,-0.411,CANDIDATE,1.0
3554600,-0.172,FALSE POSITIVE,0.0
3641726,-0.113,CANDIDATE,1.0
3734868,-0.101,FALSE POSITIVE,0.053
8395660,-0.365,CANDIDATE,0.95
3832474,-0.100,CANDIDATE,
3836375,0.186,FALSE POSITIVE,0.0
3838486,0.099,FALSE POSITIVE,0.0
3935914,-0.385,CANDIDATE,1.0
3940418,0.186,CANDIDATE,1.0
5287983,-0.027,FALSE POSITIVE,0.0
5358241,-0.204,CANDIDATE,0.998
4544670,-0.160,CANDIDATE,1.0
4913852,0.263,CANDIDATE,1.0
4932348,0.339,FALSE POSITIVE,0.0
5021899,0.082,CANDIDATE,1.0
5115978,-0.433,CANDIDATE,
5164255,-0.209,CANDIDATE,1.0
5252423,-0.077,CANDIDATE,1.0
5272878,-0.159,CANDIDATE,1.0
5283542,-0.064,FALSE POSITIVE,0.037
5649215,-0.124,FALSE POSITIVE,0.0
5651104,-0.091,CANDIDATE,1.0
5370302,-0.057,FALSE POSITIVE,0.006
5372966,-0.401,FALSE POSITIVE,0.0
5376067,-0.351,FALSE POSITIVE,0.0
5436502,0.143,CANDIDATE,1.0
10875245,-0.092,CANDIDATE,0.995
5456651,-0.016,CANDIDATE,1.0
5481416,-0.219,FALSE POSITIVE,0.0
5534814,-0.095,FALSE POSITIVE,0.0
6291653,-0.193,CANDIDATE,0.999
6392727,-0.118,CANDIDATE,1.0
6422070,0.095,CANDIDATE,0.876
5792202,0.087,CANDIDATE,1.0
5794379,-0.243,CANDIDATE,1.0
5881688,0.203,CANDIDATE,1.0
6022556,0.015,CANDIDATE,1.0
6032497,-0.067,CANDIDATE,1.0
6061119,-0.521,CANDIDATE,0.985
3531558,-0.726,CANDIDATE,0.912
6276477,0.025,CANDIDATE,1.0
6863998,0.004,CANDIDATE,1.0
6435936,0.309,CANDIDATE,0.996
6522242,-0.456,CANDIDATE,0.974
6526710,-0.151,CANDIDATE,0.994
6587280,0.241,CANDIDATE,1.0
6675056,0.075,FALSE POSITIVE,0.0
6685526,-0.131,CANDIDATE,1.0
6784235,-0.030,CANDIDATE,1.0
6849310,-0.191,CANDIDATE,1.0
6862328,-0.092,CANDIDATE,1.0
6862603,-0.023,FALSE POSITIVE,0.0
7366258,-0.014,CANDIDATE,1.0
7373451,-0.101,CANDIDATE,1.0
6948054,-0.028,CANDIDATE,1.0
6949607,0.337,CANDIDATE,1.0
7031517,-0.396,FALSE POSITIVE,0.0
11869052,-0.003,CANDIDATE,0.573
7109675,-0.110,CANDIDATE,1.0
7118364,-0.474,CANDIDATE,1.0
7134976,0.143,CANDIDATE,1.0
7135852,-0.744,CANDIDATE,1.0
7287995,-0.524,CANDIDATE,1.0
3247396,-0.320,FALSE POSITIVE,0.0
7303253,-0.272,CANDIDATE,1.0
5094751,-0.054,CANDIDATE,1.0
7685981,-0.249,CANDIDATE,1.0
7377033,-1.244,FALSE POSITIVE,0.0
7380537,-0.372,CANDIDATE,0.997
8349582,-0.143,CANDIDATE,1.0
7455287,-0.036,CANDIDATE,1.0
7458762,-0.006,CANDIDATE,1.0
7552344,-0.562,FALSE POSITIVE,0.0
757450,-0.094,CANDIDATE,0.999
7585481,0.032,CANDIDATE,1.0
7663691,-0.022,CANDIDATE,1.0
5812701,-0.035,CANDIDATE,0.635
8013419,-0.305,CANDIDATE,1.0
8018547,-0.498,CANDIDATE,0.966
8039892,-0.317,CANDIDATE,1.0
11086270,-0.151,FALSE POSITIVE,0.415
7767559,-0.257,FALSE POSITIVE,0.228
7825899,0.171,CANDIDATE,1.0
7849854,0.270,CANDIDATE,1.0
7870390,-0.195,CANDIDATE,1.0
7907423,0.221,CANDIDATE,0.999
7938496,-0.043,CANDIDATE,1.0
8490993,-0.024,CANDIDATE,1.0
8505670,-0.670,CANDIDATE,1.0
8544996,-0.281,CANDIDATE,0.997
8552202,-0.519,CANDIDATE,1.0
8180063,-0.314,FALSE POSITIVE,0.0
8226994,0.063,CANDIDATE,0.957
8247638,-0.156,CANDIDATE,1.0
8256049,-0.286,FALSE POSITIVE,0.0
8414716,0.169,CANDIDATE,1.0
9140402,-0.369,CANDIDATE,1.0
9159275,-0.352,FALSE POSITIVE,0.0
9166862,0.319,CANDIDATE,0.999
9166870,0.128,FALSE POSITIVE,0.0
11449844,0.000,CANDIDATE,0.92
8605074,-0.239,FALSE POSITIVE,0.0
8628973,0.165,CANDIDATE,1.0
8689031,-0.487,CANDIDATE,1.0
8826878,-0.129,CANDIDATE,1.0
8883593,-0.146,CANDIDATE,1.0
9016295,-0.053,FALSE POSITIVE,0.0
9077124,0.029,CANDIDATE,1.0
9097120,-0.367,FALSE POSITIVE,0.0
9466668,0.061,CANDIDATE,1.0
9479273,0.125,CANDIDATE,1.0
9171801,-0.135,FALSE POSITIVE,0.0
9388479,0.265,CANDIDATE,0.704
11359879,0.362,CANDIDATE,0.996
9406990,0.210,CANDIDATE,1.0
9415172,0.212,CANDIDATE,0.998
9904059,-0.034,CANDIDATE,1.0
3231341,-0.238,CANDIDATE,0.999
2860866,0.092,CANDIDATE,1.0
10460629,-0.330,CANDIDATE,
10319385,-0.142,CANDIDATE,1.0
10482160,-0.439,CANDIDATE,0.965
10485069,0.032,FALSE POSITIVE,
3233043,-0.117,FALSE POSITIVE,0.0
6579806,-0.289,FALSE POSITIVE,0.0
3560301,-0.451,FALSE POSITIVE,0.0
5802246,-0.302,FALSE POSITIVE,0.0
6066403,-0.238,FALSE POSITIVE,0.0
7684873,-0.047,FALSE POSITIVE,0.0
2851100,0.172,FALSE POSITIVE,0.0
3240158,-0.173,CANDIDATE,1.0
3228959,-0.312,FALSE POSITIVE,0.0
10341913,-0.231,FALSE POSITIVE,0.0
10287723,0.205,CANDIDATE,
3749365,0.376,CANDIDATE,0.998
11013201,-0.062,FALSE POSITIVE,0.0
5820218,-0.307,FALSE POSITIVE,0.0
5876368,-0.356,FALSE POSITIVE,0.0
6131236,-0.054,CANDIDATE,1.0
9048161,-0.447,FALSE POSITIVE,0.0
3218908,-0.346,CANDIDATE,0.993
3235672,-0.882,FALSE POSITIVE,
3120276,-0.079,FALSE POSITIVE,0.0
2307199,-0.315,CANDIDATE,0.752
3547091,-0.575,FALSE POSITIVE,0.0
3869825,-0.096,FALSE POSITIVE,0.0
3655332,-0.160,FALSE POSITIVE,0.0
4042026,-0.167,FALSE POSITIVE,0.0
3344419,0.254,FALSE POSITIVE,0.0
11494130,-1.630,FALSE POSITIVE,0.0
12167361,-0.098,FALSE POSITIVE,0.0
8607720,-0.106,FALSE POSITIVE,
9032900,-0.122,FALSE POSITIVE,0.0
5956342,-0.311,CANDIDATE,0.945
5956656,-0.121,CANDIDATE,0.999
3109930,-0.278,CANDIDATE,0.931
2854914,-0.114,CANDIDATE,1.0
3337425,0.007,FALSE POSITIVE,0.0
3865567,-0.046,FALSE POSITIVE,0.0
3544689,0.151,FALSE POSITIVE,0.0
4037164,-0.087,FALSE POSITIVE,0.0
3443790,-0.350,FALSE POSITIVE,0.0
3966912,-0.122,FALSE POSITIVE,0.0
11607193,0.069,FALSE POSITIVE,
1161345,-0.135,CANDIDATE,0.711
10227501,-0.116,FALSE POSITIVE,0.0
