time,flux,flux_err
1559.2256278963105,,
1559.2460618494006,6360.7876,4.2954817
1559.2664959028407,6336.7925,4.2987146
1559.2869300563907,6343.661,4.294488
1559.3073640102957,6348.8384,4.2987685
1559.327798064318,6347.2036,4.2984977
1559.3482322186828,6349.803,4.2983875
1559.3686661732863,6344.0195,4.3014965
1559.3891003281242,6337.3257,4.3007407
1559.4095343833033,6339.647,4.2997346
1559.429968438606,6341.0654,4.2999206
1559.4504024941416,6338.1235,4.3015943
1559.4708365500192,6337.894,4.3028235
1559.4912706061368,6335.693,4.300186
1559.511704662371,6333.342,4.304566
1559.532138718947,6335.121,4.3019614
1559.552572775763,6339.1157,4.3078947
1559.573006832812,6340.8135,4.303622
1559.593440890203,6330.509,4.306513
1559.6138749477177,6338.906,4.3058944
1559.6343090054652,6337.7144,4.308316
1559.6547430635546,6343.174,4.3092294
1559.675177221885,6336.2993,4.306739
1559.6956111803302,6337.0327,4.3074403
1559.716045239118,6333.4033,4.3092184
1559.736479398147,6331.0156,4.3087993
1559.756913357407,6332.044,4.3114796
1559.7773475168942,6338.4756,4.3135576
1559.7977815766208,6348.0435,4.309194
1559.8182155366958,6338.8643,4.311524
1559.8386496968815,6337.1084,4.308592
1559.859083757423,6329.2124,4.311075
1559.8795177181964,6327.6978,4.3127694
1559.8999518790806,6337.0044,4.316239
1559.9203859403206,6342.3394,4.313399
1559.9408201017868,6335.3994,4.3150606
1559.9612540634917,6346.6143,4.3147707
1559.98168812543,6336.743,4.3147984
1560.0021222877112,6344.365,4.3162036
1560.0225562501146,6329.6523,4.313889
1560.0429903127515,6343.282,4.3161674
1560.0634244757312,6334.18,4.3125324
1560.0838584389494,6340.193,4.3141103
1560.1042926022856,6343.723,4.3165364
1560.124726665963,6330.047,4.3143964
1560.1451606298797,6335.561,4.315757
1560.1655947940308,6334.3066,4.316169
1560.1860288584066,6338.236,4.3151135
1560.2064628230219,6335.543,4.3146734
1560.2268969879879,6338.466,4.3170047
1560.2473310530622,6339.826,4.316443
1560.2677650184924,6342.585,4.3155503
1560.2881991840404,6329.4697,4.3162556
1560.3086332499297,6343.66,4.3156843
1560.329067316059,6334.517,4.3163743
1560.3495013823049,6335.8057,4.316138
1560.3699354488926,6342.854,4.316233
1560.3903696157213,6337.072,4.3170342
1560.4108035827812,6345.303,4.318789
1560.431237650184,6341.735,4.316742
1560.451671817711,6331.45,4.316963
1560.4721057854695,6343.0625,4.3170323
1560.492539953455,6343.6387,4.3179026
1560.5129740217963,6337.907,4.3173256
1560.5334079903696,6331.458,4.318556
1560.5538421590536,6329.7305,4.31648
1560.5742762280934,6347.2305,4.320383
1560.5947101973652,6331.8506,4.3180227
1560.6151443668641,6346.0366,4.3178253
1560.6355784366024,6333.8115,4.317564
1560.6560125065735,6346.5615,4.3171644
1560.67644657677,6341.5747,4.3184085
1560.6968806472069,6336.9204,4.3176103
1560.737748788888,6340.1064,4.3191433
1560.7581828600232,6338.4424,4.3182826
1560.7786170315012,6334.4004,4.3166285
1560.7990510031013,6330.8145,4.3168163
1560.8194850750515,6337.223,4.3173237
1560.839919247228,6320.5596,4.3177767
1560.9625236852007,6327.2905,4.252202
1560.9829576590128,6326.395,4.322886
1561.0033918331756,6331.0527,4.318266
1561.0238259074467,6334.334,4.321764
1561.0442600820752,6328.709,4.3219438
1561.0646940568186,6347.4326,4.325615
1561.0851281319046,6332.719,4.319278
1561.1055623071152,6330.628,4.320122
1561.1259962826734,6333.8174,4.320585
1561.146430358458,6340.7695,4.3215346
1561.1668645344835,6336.055,4.321023
1561.1872985107402,6332.979,4.321797
1561.2077325872233,6336.5044,4.321667
1561.2281667639472,6346.0225,4.321701
1561.2486007409025,6347.874,4.3228
1561.2690349180848,6338.522,4.321294
1561.2894689955065,6340.8125,4.321011
1561.3099030732774,6337.4917,4.3200374
1561.3303371511574,6345.459,4.3213615
1561.3507712292776,6338.3447,4.3196826
1561.371205307747,6344.182,4.3211765
1561.3916393863256,6353.238,4.3222604
1561.4120734652606,6379.641,4.331564
1561.432507644422,6332.835,4.320551
1561.4529416237056,6345.801,4.320423
1561.4733757033391,6347.0303,4.3221736
1561.4938097832055,6344.5586,4.320077
1561.5142438632975,6344.7246,4.3219852
1561.5346779436295,6344.1484,4.3212657
1561.5551121241879,6340.4966,4.322342
1561.5755461049848,6342.864,4.3228574
1561.5959801860154,6341.724,4.3217473
1561.6164143672795,6339.197,4.3217936
1561.6368483487677,6336.8774,4.321634
1561.6572825306139,6352.7905,4.321516
1561.6777166125685,6348.946,4.322057
1561.6981505947624,6339.4224,4.321463
1561.7185847773071,6334.3677,4.3205504
1561.7390188599675,6344.109,4.321939
1561.759452842969,6348.568,4.3224306
1561.7798870260958,6331.598,4.3216066
1561.8003211095638,6340.4634,4.318465
1561.8207552932727,6339.957,4.3217554
1561.8411892770964,6345.3193,4.3232465
1561.8616233612702,6339.398,4.321937
1561.8820575456702,6342.829,4.3220077
1561.902491530309,6339.6494,4.3211613
1561.9229256151739,6340.5747,4.3220134
1561.9433598002797,6340.954,4.321875
1561.9637937855005,6347.482,4.322011
1561.9842278711876,6341.165,4.3214674
1562.0046620569847,6345.334,4.3222284
1562.025096143021,6356.389,4.3235297
1562.045530229283,6345.008,4.3221755
1562.065964315785,6344.5254,4.322073
1562.0863983025192,6346.595,4.322632
1562.1068324894804,6338.1724,4.320988
1562.1272665767974,6340.946,4.321659
1562.14770056423,6337.2256,4.3220477
1562.1681347518897,6353.8315,4.3227496
1562.1885688399052,6341.369,4.3219457
1562.2090030280378,6354.2476,4.321703
1562.229437016511,6343.328,4.3220744
1562.2498711051085,6352.432,4.3225746
1562.270305294056,6350.456,4.321544
1562.2907392831112,6341.601,4.320077
1562.3111733725236,6340.5693,4.3199067
