time,flux,flux_err
2013-04-09 17:55:04.878008,17710.46,5.4610705
2013-04-09 18:24:30.414097,17701.887,5.46926
2013-04-09 18:53:55.958845,17706.273,5.468679
2013-04-09 19:23:21.486328,17703.65,5.473481
2013-04-09 19:52:47.022467,17718.979,5.4836373
2013-04-09 20:22:12.567261,17705.264,5.472285
2013-04-09 20:51:38.094789,17710.219,5.476581
2013-04-09 21:21:03.639614,17714.715,5.482702
2013-04-09 21:50:29.175817,17707.238,5.4755077
2013-04-09 22:19:54.712031,17701.504,5.4868736
2013-04-09 22:49:20.248266,17712.955,5.4814496
2013-04-09 23:18:45.784514,17712.812,5.48241
2013-04-09 23:48:11.320779,17699.611,5.4851904
2013-04-10 00:17:36.857059,17703.328,5.488988
2013-04-10 00:47:02.393353,17709.814,5.4971414
2013-04-10 01:16:27.929662,17707.365,5.4906034
2013-04-10 01:45:53.465987,17702.05,5.4892044
2013-04-10 02:15:19.002332,17708.367,5.4934273
2013-04-10 02:44:44.538687,17714.184,5.496902
2013-04-10 03:14:10.075062,17713.637,5.496382
2013-04-10 03:43:35.611451,17701.375,5.4928093
2013-04-10 04:13:01.156497,17722.97,5.5010166
2013-04-10 04:42:26.684277,17708.95,5.4936023
2013-04-10 05:11:52.220712,17707.11,5.5037856
2013-04-10 05:41:17.765803,17707.336,5.497743
2013-04-10 06:10:43.293628,17710.383,5.503519
2013-04-10 06:40:08.838749,17700.693,5.502696
2013-04-10 07:09:34.375244,17698.957,5.502763
2013-04-10 07:38:59.903120,17704.84,5.5037937
2013-04-10 08:08:25.448286,17708.521,5.5029364
2013-04-10 08:37:50.984832,17698.826,5.50684
2013-04-10 09:07:16.512753,17708.176,5.507182
2013-04-10 09:36:42.057964,17700.277,5.5069294
2013-04-10 10:06:07.594555,17709.918,5.504074
2013-04-10 10:35:33.139801,17707.682,5.50531
2013-04-10 11:04:58.667783,17708.361,5.504777
2013-04-10 11:34:24.204419,17707.826,5.5024962
2013-04-10 12:03:49.749711,17700.184,5.505835
2013-04-10 12:33:15.277742,17711.113,5.5122595
2013-04-10 13:02:40.814424,17723.371,5.5116653
2013-04-10 13:32:06.359761,17701.78,5.508138
2013-04-10 14:01:31.887833,17702.547,5.5089464
2013-04-10 14:30:57.433205,17704.836,5.5108075
2013-04-10 15:00:22.969947,17708.047,5.511791
2013-04-10 15:29:48.498069,17699.215,5.5087557
2013-04-10 15:59:14.043482,17712.932,5.5127044
2013-04-10 16:28:39.580274,17714.41,5.511563
2013-04-10 16:58:05.108441,17733.738,5.5187473
2013-04-10 17:27:30.653899,17709.367,5.512304
2013-04-10 17:56:56.190736,17706.697,5.511976
2013-04-10 18:26:21.718949,17711.174,5.508722
2013-04-10 18:55:47.264457,17707.65,5.5107746
2013-04-10 19:25:12.801340,17704.854,5.509208
2013-04-10 19:54:38.338233,17701.967,5.512344
2013-04-10 20:24:03.875151,17705.29,5.513752
2013-04-10 20:53:29.412074,17702.23,5.5140834
2013-04-10 21:22:54.957657,17709.35,5.514448
2013-04-10 21:52:20.485976,17710.0,5.5158644
2013-04-10 22:21:46.022954,17708.96,5.515439
2013-04-10 22:51:11.568583,17718.424,5.517249
2013-04-10 23:20:37.096946,17714.05,5.5159874
2013-04-10 23:50:02.642605,17705.822,5.5126233
2013-04-11 00:19:28.179639,17704.86,5.514048
2013-04-11 00:48:53.708048,17717.951,5.517156
2013-04-11 01:18:19.253751,17708.832,5.5152106
2013-04-11 01:47:44.790835,17707.965,5.5149746
2013-04-11 02:17:10.319290,17698.545,5.514913
2013-04-11 02:46:35.865039,17710.816,5.515208
2013-04-11 03:16:01.402163,17703.195,5.516452
2013-04-11 03:45:26.939303,17698.027,5.517096
2013-04-11 04:14:52.476462,17690.785,5.5182056
2013-04-11 04:44:18.013632,17710.617,5.517755
2013-04-11 05:43:09.088016,17712.676,5.52083
2013-04-11 06:12:34.625236,17703.33,5.518272
2013-04-11 06:42:00.171105,17702.379,5.5168657
2013-04-11 07:11:25.699710,17696.164,5.5174694
2013-04-11 07:40:51.236971,17697.285,5.5169387
2013-04-11 08:10:16.782891,17697.883,5.4914584
2013-04-11 11:06:50.006858,17697.293,4.5952287
2013-04-11 11:36:15.535599,17696.902,5.5158525
2013-04-11 12:05:41.081635,17710.39,5.5178027
2013-04-11 12:35:06.619046,17732.574,5.5192094
2013-04-11 13:04:32.165117,17705.7,5.518773
2013-04-11 13:33:57.693914,17705.115,5.5236645
2013-04-11 14:03:23.231369,17702.037,5.5217032
2013-04-11 14:32:48.777481,17708.688,5.5189214
2013-04-11 15:02:14.306327,17695.031,5.5216947
2013-04-11 15:31:39.843828,17700.826,5.520753
2013-04-11 16:01:05.389985,17716.53,5.520708
2013-04-11 16:30:30.918872,17707.273,5.5228534
2013-04-11 16:59:56.456418,17706.357,5.523658
2013-04-11 17:29:22.002621,17699.248,5.5205646
2013-04-11 17:58:47.531553,17721.578,5.523069
2013-04-11 18:28:13.077784,17702.588,5.521232
2013-04-11 18:57:38.615386,17693.434,5.5214934
2013-04-11 19:27:04.153009,17691.162,5.523459
2013-04-11 19:56:29.690641,17714.19,5.5226374
2013-04-11 20:25:55.228288,17714.02,5.523113
2013-04-11 20:55:20.765956,17706.967,5.520754
2013-04-11 21:24:46.303633,17723.855,5.5242476
2013-04-11 21:54:11.841326,17697.064,5.5201883
2013-04-11 22:23:37.387673,17702.24,5.5199604
2013-04-11 22:53:02.916756,17693.814,5.5211725
2013-04-11 23:22:28.454494,17705.324,5.5219874
2013-04-11 23:51:53.992247,17692.88,5.5217953
2013-04-12 00:21:19.530015,17700.66,5.5229373
2013-04-12 00:50:45.067793,17714.61,5.5241346
2013-04-12 01:20:10.614231,17705.691,5.5226545
2013-04-12 01:49:36.143404,17703.717,5.5220356
2013-04-12 02:19:01.681228,17705.193,5.522257
2013-04-12 02:48:27.227707,17704.666,5.52224
2013-04-12 03:17:52.756925,17705.467,5.5225487
2013-04-12 03:47:18.303433,17702.822,5.522508
2013-04-12 04:16:43.841317,17707.23,5.5241218
2013-04-12 04:46:09.370576,17695.795,5.522998
2013-04-12 05:15:34.917130,17698.607,5.5228624
2013-04-12 05:45:00.455059,17699.814,5.5236726
2013-04-12 06:14:25.984358,17707.635,5.524532
2013-04-12 06:43:51.530957,17710.139,5.522882
2013-04-12 07:13:17.068931,17693.22,5.52351
2013-04-12 07:42:42.615555,17706.184,5.523141
2013-04-12 08:12:08.144920,17714.568,5.524093
2013-04-12 08:41:33.682934,17703.732,5.5234385
2013-04-12 09:10:59.229604,17709.795,5.5233183
2013-04-12 09:40:24.759008,17708.744,5.524593
2013-04-12 10:09:50.297068,17702.87,5.523306
2013-04-12 10:39:15.843783,17706.922,5.5218563
2013-04-12 11:08:41.373228,17704.672,5.5238338
2013-04-12 11:38:06.911333,17708.47,5.5223036
2013-04-12 12:07:32.458093,17704.205,5.5235324
2013-04-12 12:36:57.996223,17704.432,5.524709
2013-04-12 13:06:23.534368,17712.557,5.523873
2013-04-12 13:35:49.072528,17717.129,5.5226135
2013-04-12 14:05:14.602064,17711.557,5.5233364
2013-04-12 14:34:40.148894,17708.023,5.523743
2013-04-12 15:04:05.687100,17696.43,5.5218606
2013-04-12 15:33:31.216675,17701.559,5.523117
2013-04-12 16:02:56.763551,17706.877,5.5251822
2013-04-12 16:32:22.301797,17702.78,5.5248175
2013-04-12 17:01:47.848698,17705.217,5.523481
2013-04-12 17:31:13.378333,17701.006,5.524634
2013-04-12 18:00:38.916625,17710.307,5.524415
2013-04-12 18:30:04.463571,17714.174,5.5220146
2013-04-12 18:59:29.993247,17706.695,5.5247765
2013-04-12 19:28:55.531583,17704.725,5.5235868
2013-04-12 19:58:21.078570,17701.662,5.5232215
2013-04-12 20:27:46.608291,17704.98,5.523528
2013-04-12 20:57:12.155308,17711.34,5.524391
2013-04-12 21:26:37.693700,17706.377,5.5232344
2013-04-12 21:56:03.223466,17697.55,5.5232973
2013-04-12 22:25:28.770528,17711.318,5.522533
2013-04-12 22:54:54.308960,17705.627,5.5193686
2013-04-12 23:24:19.838766,17707.707,5.524721
2013-04-12 23:53:45.385869,17695.148,5.5228453
2013-04-13 00:23:10.924346,17712.863,5.523642
2013-04-13 00:52:36.462838,17699.803,5.5215087
2013-04-13 01:22:02.001340,17704.17,5.523667
2013-04-13 01:51:27.539863,17703.736,5.5225587
2013-04-13 02:20:53.087035,17705.18,5.520922
2013-04-13 02:50:18.616943,17702.469,5.5244026
2013-04-13 03:19:44.155506,17705.184,5.522724
2013-04-13 03:49:09.702718,17722.047,5.5243807
2013-04-13 04:18:35.241311,17702.033,5.523191
2013-04-13 04:48:00.771274,17699.527,5.5248175
2013-04-13 05:17:26.318532,17706.883,5.5215545
2013-04-13 05:46:51.848525,17713.818,5.523924
2013-04-13 06:16:17.395812,17702.775,5.5214796
2013-04-13 06:45:42.934476,17698.598,5.5221725
2013-04-13 07:15:08.464509,17702.504,5.520961
2013-04-13 07:44:34.011838,17703.64,5.5236816
2013-04-13 08:13:59.550541,17699.771,5.521926
2013-04-13 08:43:25.080620,17717.648,5.520582
2013-04-13 09:12:50.627988,17712.652,5.5247464
2013-04-13 09:42:16.166737,17691.678,5.5225873
2013-04-13 10:11:41.696856,17705.086,5.5241966
2013-04-13 10:41:07.244270,17705.521,5.522566
2013-04-13 11:10:32.783058,17690.543,5.5197825
2013-04-13 11:39:58.330498,17697.73,5.522034
2013-04-13 12:09:23.860676,17694.488,5.522377
2013-04-13 12:38:49.399506,17704.74,5.522414
2013-04-13 13:08:14.946990,17712.377,5.5235567
2013-04-13 13:37:40.477205,17707.775,5.5211964
2013-04-13 14:07:06.016079,17697.19,5.5203676
2013-04-13 14:36:31.563603,17700.053,5.5197186
2013-04-13 15:05:57.093863,17697.088,5.5214906
2013-04-13 15:35:22.641417,17704.406,5.5186157
2013-04-13 16:04:48.180347,17709.648,5.5232625
2013-04-13 16:34:13.719287,17706.426,5.5234637
2013-04-13 17:03:39.258242,17710.826,5.5227685
2013-04-13 17:33:04.797212,17721.959,5.521244
2013-04-13 18:02:30.336197,17699.602,5.522036
2013-04-13 18:31:55.875192,17704.822,5.520765
2013-04-13 19:01:21.414203,17701.65,5.5235453
2013-04-13 19:30:46.953227,17692.646,5.519408
2013-04-13 20:00:12.500908,17703.832,5.520155
2013-04-13 20:29:38.031319,17705.775,5.523668
2013-04-13 20:59:03.570389,17695.129,5.5210476
2013-04-13 21:28:29.109470,17700.936,5.52365
2013-04-13 21:57:54.648561,17704.703,5.5214343
2013-04-13 22:27:20.196311,17703.59,5.5211167
2013-04-13 22:56:45.726792,17714.568,5.521496
2013-04-13 23:26:11.265928,17705.781,5.5205197
2013-04-13 23:55:36.813714,17697.48,5.521356
2013-04-14 00:25:02.344240,17700.64,5.5202703
2013-04-14 00:54:27.892057,17696.676,5.519924
2013-04-14 01:23:53.431247,17708.328,5.521399
2013-04-14 01:53:18.961814,17707.451,5.5210104
2013-04-14 02:22:44.509670,17709.56,5.5208707
2013-04-14 02:52:10.048902,17709.83,5.5199356
2013-04-14 03:21:35.579508,17711.074,5.5215054
2013-04-14 03:51:01.127410,17705.312,5.522903
2013-04-14 04:20:26.666682,17698.791,5.519564
2013-04-14 05:19:17.745270,17700.236,5.521353
2013-04-14 05:48:43.284582,17697.271,5.520723
2013-04-14 06:18:08.832550,17710.182,5.517383
2013-04-14 06:47:34.363252,17712.137,5.524194
2013-04-14 07:16:59.902609,17693.016,5.5205903
2013-04-14 07:46:25.450616,17702.486,5.522442
2013-04-14 08:15:50.989998,17712.537,5.523147
2013-04-14 08:45:16.520756,17701.672,5.522073
2013-04-14 09:14:42.068809,17698.506,5.52209
2013-04-14 09:44:07.608231,17709.125,5.520541
2013-04-14 10:13:33.147664,17706.004,5.5232797
2013-04-14 10:42:58.687117,17702.9,5.5207357
2013-04-14 11:12:24.226579,17704.062,5.5177937
2013-04-14 11:41:49.766057,17703.229,5.5216746
2013-04-14 12:11:15.305551,17698.604,5.5171
2013-04-14 12:40:40.845053,17706.771,5.518833
2013-04-14 13:10:06.384572,17702.902,5.5203395
2013-04-14 13:39:31.924105,17703.977,5.519203
2013-04-14 14:08:57.472288,17696.777,5.5203524
2013-04-14 14:38:23.003212,17701.068,5.5211287
2013-04-14 15:07:48.542780,17697.238,5.5214777
2013-04-14 15:37:14.091008,17703.434,5.521115
2013-04-14 16:06:39.621967,17699.111,5.5229793
2013-04-14 16:36:05.161581,17696.969,5.5181236
2013-04-14 17:05:30.709845,17694.982,5.518831
2013-04-14 17:34:56.240844,17701.252,5.5205135
2013-04-14 18:04:21.780498,17698.213,5.519993
2013-04-14 18:33:47.328806,17704.371,5.5222535
