time,flux,flux_err
1559.2254400540187,,
1559.2458742152594,39208.555,7.060727
1559.2663084767337,39229.7,7.072189
1559.2867428385507,39213.297,7.0589767
1559.3071770006063,39217.684,7.0664067
1559.3276112628955,39210.76,7.072188
1559.3480456255274,39204.02,7.0625734
1559.3684797882815,39219.26,7.0716634
1559.3889141515028,39214.11,7.072457
1559.4093484148325,39213.04,7.0697036
1559.4297826785187,39230.41,7.0783
1559.4502169424377,39196.133,7.075328
1559.4706512065823,39214.887,7.069145
1559.4910854710834,39209.184,7.0755935
1559.5115197357009,39217.58,7.0727177
1559.5319540007768,39215.703,7.079156
1559.5523882659763,39213.664,7.07684
1559.5728225315252,39218.613,7.077015
1559.5932567972995,39227.562,7.0813932
1559.613691063314,39212.133,7.0901427
1559.6341253296778,39216.027,7.082731
1559.654559596267,39228.65,7.0912194
1559.6749939630972,39222.31,7.0797663
1559.6954281301587,39224.91,7.086738
1559.715862397563,39217.77,7.0915613
1559.736296765208,39222.406,7.088854
1559.7567309330843,39218.03,7.088979
1559.7771653013042,39204.83,7.0915804
1559.7975995697634,39212.94,7.0878835
1559.8180337384547,39206.906,7.09449
1559.838468107373,39211.363,7.0936813
1559.8589023766472,39195.75,7.089534
1559.8793365461534,39217.08,7.095772
1559.8997709158866,39217.223,7.0994844
1559.9202051858592,39209.145,7.0915647
1559.9406395561746,39211.47,7.096226
1559.9610737267285,39207.63,7.098508
1559.981507997516,39233.984,7.098218
1560.0019423686463,39201.227,7.099387
1560.022376540015,39201.87,7.088197
1560.0428108116175,39202.848,7.0983477
1560.0632451834463,39207.547,7.09852
1560.08367935563,39197.496,7.0996647
1560.104113728048,39211.055,7.1022243
1560.124548000691,39214.48,7.101801
1560.1449821735732,39203.055,7.0986824
1560.1654165468062,39223.246,7.103046
1560.185850820264,39202.68,7.099944
1560.2062849939612,39207.65,7.105203
1560.226719368009,39210.94,7.1029906
1560.2471536421654,39217.492,7.099397
1560.2675878166774,39222.94,7.1049013
1560.2880221915402,39208.184,7.1043167
1560.3084564665114,39211.453,7.103048
1560.3288907418391,39208.7,7.1058803
1560.3493250173997,39210.77,7.105425
1560.3697592931858,39207.137,7.1033616
1560.3901936693292,39201.45,7.1050415
1560.4106278455874,39209.176,7.103226
1560.4310621221885,39193.17,7.1030846
1560.4514964991467,39202.63,7.105048
1560.47193067622,39207.277,7.103685
1560.4923650536366,39187.895,7.1055684
1560.5127993312926,39210.496,7.1047945
1560.5332335091807,39208.043,7.1058226
1560.5536678874123,39203.04,7.107718
1560.5741021658832,39212.414,7.1088734
1560.5945363445862,39220.27,7.1092834
1560.6149707235163,39197.15,7.10961
1560.6354050028021,39202.516,7.106287
1560.6558392822044,39206.227,7.106147
1560.6762735619486,39206.742,7.10818
1560.6967078420494,39207.367,7.108871
1560.7375764028257,39208.11,7.108048
1560.758010683625,39215.3,7.1093445
1560.7784450646504,39216.402,7.110389
1560.7988792459146,39207.863,7.1094346
1560.8193135275287,39220.273,7.1096416
1560.8397479093692,39200.76,7.1157804
1560.962353605908,39206.016,7.12225
1560.9827877895004,39217.64,7.122942
1561.0032221734436,39220.55,7.1251535
1561.0236564576117,39217.586,7.1218724
1561.0440908420205,39154.387,7.1202374
1561.0645250267771,39228.996,7.1237674
1561.0849593116436,39214.902,7.1176715
1561.1053936968674,39266.31,7.1218
1561.125827882439,39228.36,7.1219397
1561.1462621681203,39201.562,7.120709
1561.166696554159,39215.734,7.1182
1561.1871307403126,39199.81,7.1184525
1561.2075650269253,39216.574,7.119887
1561.2279994136625,39232.355,7.1182914
1561.248433600631,39216.95,7.120391
1561.268867987943,39220.086,7.1209064
1561.2893022754943,39234.695,7.1179376
1561.3097365632784,39247.273,7.12207
1561.3301708514045,39215.69,7.118739
1561.3506051396544,39226.484,7.1213107
1561.3710394282534,39222.32,7.1192913
1561.391473717078,39219.508,7.119295
1561.4119080061428,39197.566,7.117378
1561.4323423955502,39212.61,7.1168137
1561.4527765851963,39196.215,7.11628
1561.4732108749595,39212.54,7.118655
1561.493645165072,39212.51,7.1176734
1561.5140794555264,39224.703,7.1192427
1561.5345137461045,39208.184,7.1204214
1561.5549481370253,39207.55,7.1186457
1561.5753823281848,39205.395,7.118621
1561.5958166195778,39214.51,7.1184063
1561.6162510113209,39218.02,7.119178
1561.6366852031715,39198.81,7.1162453
1561.6571195953802,39210.176,7.117331
1561.6775538878137,39209.734,7.1175575
1561.6979880804865,39188.887,7.1172376
1561.7184224733937,39203.4,7.119219
1561.7388567666494,39210.906,7.1186056
1561.7592909601299,39215.46,7.118015
1561.779725353852,39201.64,7.1184435
1561.8001596477989,39219.145,7.1172743
1561.820594042103,39201.023,7.1177897
1561.841028236522,39211.207,7.118001
1561.8614625312912,39214.57,7.11793
1561.8818969262866,39222.22,7.1219506
1561.9023311215205,39210.94,7.11715
1561.9227654170973,39224.04,7.116319
1561.9431998127984,39172.113,7.1155896
1561.9636340088473,39155.77,7.1125436
1561.9840683051298,39136.29,7.1132946
1562.0045027016386,39139.348,7.1130686
1562.0249369983867,39181.61,7.1174827
1562.0453712954768,39208.137,7.11778
1562.065805592807,39212.934,7.1171904
1562.0862397903693,39218.65,7.119092
1562.1066741881586,39219.07,7.117653
1562.1271084861874,39205.207,7.1149464
1562.1475426844481,39206.55,7.1186357
1562.1679770830524,39205.38,7.1154943
1562.188411381896,39205.504,7.116057
1562.2088457809732,39195.234,7.1146445
1562.2292799802744,39200.664,7.1160774
1562.249714279933,39206.51,7.1167016
1562.2701486797087,39205.574,7.1164346
1562.2905828798248,39199.945,7.1161246
1562.3110171801818,39212.707,7.115769
1562.3314515807724,39202.613,7.1145697
1562.351885781587,39214.348,7.1160417
1562.3723201827597,39189.414,7.1154594
1562.392754484048,39202.68,7.1183133
1562.4131886856776,39218.527,7.113616
1562.4336230875488,39222.496,7.116311
1562.4540573897684,39213.746,7.1134496
1562.4744915920965,39196.67,7.113988
1562.4949259946661,39210.957,7.1154933
1562.5153602975843,39206.008,7.112905
1562.535794600728,39210.66,7.1105103
1562.5562289041118,39202.266,7.110941
1562.5766632077284,39202.59,7.110532
1562.5970976116878,39205.13,7.1118493
1562.6175318157693,39201.53,7.112167
1562.6379661202009,39224.832,7.1141567
1562.6584005248587,39207.684,7.112524
1562.678834829756,39201.42,7.107546
1562.6992690348852,39199.016,7.110515
1562.7197034402416,39196.05,7.1120224
1562.740137645953,39215.19,7.1141133
1562.7605720518914,39214.34,7.107979
1562.7810063580691,39210.977,7.1112185
1562.801440564479,39201.145,7.1086535
1562.8218749711232,39203.086,7.1092706
1562.8423092779922,39208.336,7.1106334
1562.862743485217,39216.758,7.108792
1562.8831778925523,39214.79,7.109455
1562.9036122002435,39210.98,7.111749
1562.9240464081668,39217.76,7.1124387
1562.9444808163244,39206.523,7.107073
1562.9649151248232,39209.914,7.108388
1562.9853495334464,39213.46,7.108948
1563.0057837424101,39207.67,7.1095223
1563.0262180514983,39196.29,7.1105585
1563.0466524609365,39204.633,7.1093154
1563.067086670606,39194.434,7.1081758
1563.0875209806181,39207.215,7.1082783
1563.1079553907548,39227.723,7.1077266
1563.128389601232,39200.375,7.1095557
1563.1488240118342,39185.195,7.1079698
1563.169258322785,39197.168,7.1086965
1563.1896926339614,39203.188,7.110365
1563.2101269453779,39201.156,7.1125836
1563.2305612570271,39215.36,7.1139646
1563.2509955690184,39195.523,7.106958
