Kepler_ID,Metalicidad
757450,-0.094
892772,-0.200
1025986,-0.174
1026032,-1.047
1026957,-0.175
1027438,-0.384
1161345,-0.135
1161949,-0.142
1164301,-0.129
1293031,-0.065
1293046,-0.207
1293379,0.030
1297263,-0.148
1429589,-0.299
1430305,-0.094
1431122,0.058
1432214,-0.037
1432789,-0.057
1433531,-0.171
1433962,-0.192
1433980,-0.206
1434395,-0.127
1571511,-0.150
1572948,-0.172
1575690,0.103
1575873,-0.222
1717528,-0.066
1717722,-0.050
1718189,-0.115
1718958,-0.109
1721157,0.132
1722276,-0.105
1723078,0.052
1724513,-0.092
1724719,-0.119
1725016,-0.078
1725193,0.134
1725415,-0.131
1849702,-0.537
1865042,-0.416
1865864,-0.285
1868404,-0.312
1870398,-0.228
1871056,-0.190
1871483,-0.249
1872821,-0.127
1873513,0.054
1995519,-0.384
1995712,-0.504
1995732,-0.123
1996180,-0.049
1996399,-0.116
1996679,-0.304
2010152,-0.940
2010191,-0.421
2010607,-0.042
2012722,0.099
2013883,-1.996
2014991,-0.129
2015013,-0.192
2019076,-0.554
2019199,-0.089
2019477,-0.515
2021440,-0.270
2140389,-0.235
2141783,-0.305
2142522,-0.280
2157247,-0.406
2158460,-0.310
2161536,-0.119
2161623,-0.222
2161949,0.090
2162635,-0.087
2162994,-0.375
2163226,-0.516
2164169,-0.057
2165002,-0.110
2165352,-0.607
2166200,-0.268
2166206,-0.111
2167444,-0.011
2167890,-0.027
2283362,0.138
2284957,-0.589
2299738,-0.329
2301068,0.063
2302548,0.140
2302758,0.111
2302997,-0.256
2303903,-0.189
2304320,-0.581
2305255,-0.229
2305311,-0.644
2305372,-0.576
2305543,-0.581
2305819,-0.935
2306740,-0.289
2306756,0.100
2307199,-0.315
2307206,-0.158
2307415,-0.325
2308411,0.199
2308957,-0.243
2309585,0.131
2309587,-0.294
2309719,-0.180
2309910,-0.043
2310993,-0.070
2422820,-0.534
2437060,0.002
2437112,-0.108
2437149,-0.028
2437209,-0.047
2437452,-0.310
2437488,0.005
2437653,-0.263
2437804,0.078
2437897,-0.227
2438070,0.056
2438264,-0.014
2438406,0.030
2438490,-0.146
2438502,-0.093
2438513,-0.171
2438517,-0.068
2439243,-0.020
2440757,-0.464
2441151,-0.803
2441161,-0.479
2441495,-0.058
2441728,-0.346
2442084,0.151
2442359,-0.065
2442448,-0.285
2444412,-0.550
2445129,0.071
2445134,-0.183
2445154,-0.264
2446113,-0.258
2446134,-0.163
2446623,-0.506
2449053,0.211
2449101,0.536
2449245,-0.050
2449431,-0.536
2450716,-0.212
2452289,-0.079
2452440,-0.557
2452450,-0.486
2554853,-0.535
2556650,0.205
2557350,0.203
2557430,-0.340
2557816,-0.657
2558163,-0.595
2558363,-0.445
2568971,-0.148
2569488,0.040
2569494,-0.077
2569516,-0.093
2569995,0.469
2570432,0.239
2570505,-0.233
2570767,-1.921
2570773,-0.003
2571075,-0.226
2571238,-0.766
2572029,-0.046
2573056,-0.564
2573108,-0.110
2574201,0.103
2574338,-0.147
2574543,-0.124
2576107,-0.457
2576197,0.277
2576224,0.318
2576692,-0.309
2576962,0.000
2577353,0.017
2578017,-0.311
2578811,-0.010
2579043,-0.108
2580872,0.055
2581191,-0.161
2581554,0.121
2582800,0.016
2583777,-0.318
2584163,-0.159
2692377,0.070
2693092,0.112
2693736,-0.010
2695110,-0.357
2696205,-0.053
2697169,-0.312
2697935,-0.133
2707916,-0.724
2707985,-0.221
2708156,-0.096
2708172,-0.147
2708203,-1.515
2708221,0.123
2708278,-0.100
2708286,-0.545
2708343,-0.317
2708420,-0.350
2708445,-1.372
2708614,-0.267
2708885,-0.049
2710101,-0.094
2710623,0.039
2711114,-0.270
2711123,-0.039
2711131,0.155
2711597,-0.169
2712825,-0.055
2713018,-0.326
2713049,-0.099
2715135,-0.170
2715695,0.067
2716801,-0.079
2716853,-0.113
2716979,-0.397
2717158,-0.247
2718778,-0.161
2719873,-0.776
2720309,0.146
2720354,-0.080
2720514,-0.080
2720828,-0.218
2721030,-0.048
2830919,-0.255
2831055,-0.031
2831251,-0.196
2832589,-0.018
2833632,-0.110
2834463,-0.134
2834805,0.005
2836076,-0.028
2837111,-0.041
2849140,-0.150
2849805,-0.014
2850321,-0.257
2851100,0.172
2852528,0.067
2852560,-0.243
2852810,-0.427
2852941,-0.171
2853029,-0.178
2853093,-0.150
2853446,-0.209
2853780,0.027
2853828,-0.120
2853889,-0.106
2854181,-0.001
2854698,-0.034
2854914,-0.114
2854948,-0.349
2856960,-0.130
2857607,-0.287
2859299,-0.097
2859893,0.041
2860114,-0.125
2860594,-0.107
2860656,-0.174
2860788,-0.196
2860793,-0.151
2860866,0.092
2861126,0.108
2969638,-0.090
2970670,-0.418
2972800,-0.743
2973386,-0.183
2973509,-0.125
2975770,0.243
2976017,-0.562
2984990,-0.205
2985587,-0.069
2985767,-0.041
2986833,0.086
2987027,0.003
2987433,-0.269
2989404,-0.078
2989706,-0.407
2990873,-0.255
2992634,-0.031
2994092,0.138
2995392,-0.305
2997178,0.057
2997455,-0.036
2997459,-0.092
2998124,-0.331
3001885,0.309
3001955,0.436
3002478,-0.019
3003019,0.042
3003673,-0.045
3003991,-0.210
3097352,-0.065
3097926,0.128
3098184,-0.116
3098194,-0.017
3098197,-0.527
3098605,-0.177
3098810,0.052
3098843,0.021
3101923,-0.204
3102000,-0.238
3102024,-0.789
3102384,-0.031
3103212,-0.061
3103227,-0.264
3103473,-0.213
3109550,0.066
3109930,-0.278
3109937,-0.124
3110177,-0.267
3110937,-0.508
3112129,-0.011
3113266,-0.475
3114167,-0.818
3114661,-0.724
3114811,-0.429
3115480,-0.503
3115833,-0.518
3116302,-0.103
3116412,-0.058
3117046,-0.230
3117115,-0.083
3118797,-0.232
3119256,-0.971
3120276,-0.079
3120308,0.083
3120320,-0.240
3120355,-0.116
3120397,-0.048
3120431,-0.011
3120904,-0.373
3121340,-0.838
3122872,-0.629
3122913,-0.153
3122985,-0.597
3123418,-0.164
3124412,-0.026
3124598,-0.397
3127817,-0.220
3127911,-0.175
3128552,-0.248
3128793,-1.574
3129238,-0.530
3130300,-0.410
3130548,-0.215
3217264,0.147
3218844,-0.020
3218908,-0.346
3219037,-0.387
3219643,-0.124
3219995,-0.203
3222680,0.152
3223433,-0.704
3228740,-0.142
3228804,-0.043
3228824,-0.101
3228825,-0.053
3228945,-0.027
3228959,-0.312
3228986,-0.104
3228988,-0.212
3229028,-0.273
3229150,-0.047
3230095,-0.240
3230206,-0.100
3230227,-0.149
3230491,-0.395
3230753,0.131
3230787,-0.288
3230805,-0.190
3231120,-0.172
3231137,-0.523
3231341,-0.238
3232249,0.111
3232859,-0.232
3233043,-0.117
3234598,-0.157
3234843,-0.131
3235282,0.028
3235672,-0.882
3236705,-0.100
3239171,-0.093
3239636,-0.736
3239671,-0.307
3239945,0.052
3240049,-0.065
3240158,-0.173
3240159,-0.366
3240406,-0.110
3240706,-0.026
3241248,-0.108
3241344,-0.981
3241557,-0.352
3241604,-0.078
3241619,-0.785
3241647,0.333
3241662,-0.105
3242039,-0.270
3244792,-0.452
3245000,-0.036
3245638,-0.157
3245661,-0.302
3245969,0.054
3246867,-0.424
3246984,-0.185
3247268,-0.133
3247294,-0.483
3247396,-0.320
3247503,-0.307
3248019,-0.316
3248033,-0.088
3248332,-0.069
3248501,0.137
3248696,-0.500
3249334,-0.112
3323289,-0.101
3323887,0.170
3324069,-0.565
3324644,-0.130
3324986,-0.318
3326377,-0.861
3327980,0.051
3327992,0.183
3327993,0.107
3328026,0.147
3328027,0.014
3328052,-0.106
3329204,-0.069
3329643,-0.142
3329985,0.555
3335813,-0.069
3335816,-0.333
3336283,-0.421
3336476,0.003
3336765,-0.437
3336845,-0.424
3337425,0.007
3337438,0.015
3337548,-0.224
3338660,-0.217
3338674,-0.117
3338885,0.509
3339538,0.121
3340070,-0.239
3340165,-0.278
3340312,-0.165
3340313,-0.120
3341760,-0.049
3341934,-0.112
3341982,-0.261
3342463,-0.422
3342467,0.095
3342592,-0.073
3342794,-0.151
3342952,-0.060
3342970,0.075
3343281,-0.176
3343866,-0.460
3344419,0.254
3344427,-0.219
3345675,0.137
3345973,-0.106
3346154,0.118
3346543,-0.120
3347485,-0.558
3347807,-0.100
3348082,-0.188
3348090,-0.243
3348093,0.137
3348216,-0.307
3348285,-0.095
3351888,0.182
3352751,-0.222
3353050,-0.121
3354846,-0.069
3355104,-0.061
3356193,-0.285
3425363,-0.254
3426367,0.432
3427776,-0.506
3428127,-0.082
3428359,-0.181
3428468,0.436
3433668,-0.717
3437739,-0.116
3437776,0.140
3438507,-0.174
3438975,-0.340
3438976,-0.248
3439031,-0.420
3439096,-0.340
3439126,0.105
3440118,-0.276
3440230,-0.328
3440861,-0.110
3440978,-0.356
3441340,-0.097
3441795,-0.001
3442054,-0.277
3442055,-0.176
3443582,-0.206
3443790,-0.350
3444098,-0.215
3444588,0.112
3445812,-0.467
3446451,-0.142
3446746,0.042
3447722,0.184
3448130,-0.052
3448323,-0.021
3448456,-0.189
3449540,-0.538
3449870,0.110
