Kepler ID,RA (J2000),Dec (J2000),r Mag,J Mag,Kepler Mag,2MASS ID,Star/Gal ID,Teff (deg K),Log G (cm/s/s),Metallicity (solar=0.0),E(B-V),Radius (solar=1.0),Parallax (arcsec),Total PM (arcsec/yr),g-r color
integer,ra,dec,float,float,float,string,integer,integer,float,float,float,float,float,float,float
757450,19 24 33.022,+36 34 38.57,15.207,13.664,15.264,19243302+3634385,0,5101,4.480,-0.094,0.127,0.933,,0.006,0.791
892772,19 24 36.809,+36 40 43.82,15.131,13.545,15.162,19243681+3640438,0,4858,4.546,-0.200,0.101,0.823,,0.011,0.827
1025986,19 24 08.086,+36 46 15.74,10.097,8.980,10.150,19240808+3646157,0,5966,4.132,-0.174,0.042,1.536,,0.029,0.477
1026032,19 24 10.577,+36 43 45.37,14.777,13.608,14.813,19241057+3643453,0,5715,4.819,-1.047,0.107,0.643,,0.007,0.474
1026957,19 25 01.078,+36 44 37.00,12.520,10.981,12.559,19250107+3644370,0,4845,4.577,-0.175,0.036,0.788,,0.028,0.779
1027438,19 25 24.965,+36 47 04.27,13.593,12.544,13.620,19252496+3647042,0,6452,4.155,-0.384,0.163,1.520,,0.010,0.394
1161345,19 24 11.710,+36 50 23.57,11.956,10.457,11.631,19241171+3650235,0,5836,4.145,-0.135,0.080,1.502,,0.021,0.324
1161949,19 24 42.720,+36 52 28.49,13.945,12.926,13.978,19244272+3652284,0,6586,4.015,-0.142,0.199,1.830,,0.005,0.442
1164301,19 26 46.068,+36 52 53.08,13.909,12.237,13.933,19264606+3652530,0,4961,3.322,-0.129,0.205,4.292,,0.005,0.886
1293031,19 24 05.035,+36 54 13.14,12.877,11.753,12.915,19240503+3654131,0,6522,3.791,-0.065,0.178,2.445,,0.012,0.465
1293046,19 24 06.372,+36 54 58.93,15.505,13.492,15.544,19240637+3654589,0,4091,4.523,-0.207,0.061,0.698,,0.025,1.239
1293379,19 24 27.357,+36 59 38.62,15.906,14.595,15.979,19242735+3659386,0,5308,4.640,0.030,0.148,0.777,,0.010,0.714
1297263,19 27 47.647,+36 57 07.49,13.589,12.345,13.636,19274764+3657074,0,5990,3.958,-0.148,0.168,1.925,,0.008,0.607
1429589,19 23 01.500,+37 05 23.32,13.161,12.127,13.195,19230150+3705233,0,5927,4.123,-0.299,0.125,1.551,,0.036,0.456
1430305,19 23 42.910,+37 05 06.90,13.224,12.230,13.274,19234290+3705069,0,6522,3.912,-0.094,0.176,2.084,,0.004,0.417
1431122,19 24 34.197,+37 03 40.75,14.534,13.284,14.613,19243419+3703407,0,5398,4.465,0.058,0.118,0.977,,0.019,0.690
1432214,19 25 31.846,+37 04 22.76,15.601,14.448,15.661,19253184+3704227,0,5814,4.596,-0.037,0.169,0.856,,0.000,0.554
1432789,19 25 59.863,+37 03 33.41,15.170,13.997,15.214,19255986+3703334,0,5648,4.649,-0.057,0.137,0.793,,0.003,0.573
1433531,19 26 39.715,+37 04 34.03,13.195,12.108,13.240,19263971+3704340,0,6224,3.924,-0.171,0.165,2.026,,0.004,0.486
1433962,19 27 02.873,+37 05 55.10,15.421,13.676,15.470,19270287+3705550,0,4349,4.634,-0.192,0.067,0.645,,0.016,1.082
1433980,19 27 03.919,+37 05 49.88,14.892,13.721,14.915,19270391+3705498,0,6345,4.059,-0.206,0.227,1.710,,0.027,0.487
1434395,19 27 25.557,+37 03 56.34,12.515,10.833,12.552,19272555+3703563,0,4883,2.642,-0.127,0.215,9.524,,0.006,0.907
1571511,19 23 59.258,+37 11 57.19,13.377,12.333,13.424,19235925+3711571,0,5804,4.406,-0.150,0.101,1.079,,0.007,0.478
