rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
3189,7504328,K00458.01,,CANDIDATE,CANDIDATE,0.933,0,0,0,0,53.71798494,6.523e-05,-6.523e-05,208.08042,0.000916,-0.000916,0.93,0.009,-0.006,4.104,0.0704,-0.0704,3153.5,53.7,-53.7,155.12,5.52,-31.32,1550.0,,,1363.11,161.12,-575.29,103.0,1.0,q1_q17_dr25_tce,4959.0,52.0,-119.0,2.332,0.161,-0.038,21.449,0.764,-4.331,282.88269,43.191952,14.708
3190,8219268,K02133.02,,FALSE POSITIVE,FALSE POSITIVE,0.029,1,0,0,0,43.501748,0.002151,-0.002151,164.2859,0.0302,-0.0302,0.909,0.048,-0.672,10.755,0.956,-0.956,167.1,20.0,-20.0,10.1,0.91,-0.82,996.0,,,232.53,61.85,-45.53,9.5,2.0,q1_q17_dr25_tce,4604.0,74.0,-54.0,2.936,0.013,-0.012,6.221,0.559,-0.509,285.67288,44.11673,12.495
3191,7977197,K00459.01,Kepler-162 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,19.44639139,2.559e-05,-2.559e-05,170.10238,0.00105,-0.00105,0.813,0.067,-0.566,3.6227,0.0558,-0.0558,926.0,12.0,-12.0,3.24,0.89,-0.48,681.0,,,50.73,40.8,-18.03,82.4,1.0,q1_q17_dr25_tce,5815.0,157.0,-174.0,4.421,0.12,-0.18,0.954,0.261,-0.14,297.2789,43.724018,14.248
3192,7977197,K00459.02,Kepler-162 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.91986988,2.766e-05,-2.766e-05,134.11594,0.0034,-0.0034,0.819,0.009,-0.582,3.4253,0.0864,-0.0864,170.1,7.4,-7.4,1.39,0.38,-0.2,961.0,,,201.41,162.02,-71.55,25.6,2.0,q1_q17_dr25_tce,5815.0,157.0,-174.0,4.421,0.12,-0.18,0.954,0.261,-0.14,297.2789,43.724018,14.248
3193,7199397,K00075.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,105.8817667,0.0001312,-0.0001312,156.97935,0.00101,-0.00101,0.539,0.044,-0.149,18.044,0.102,-0.102,1556.3,6.3,-6.3,10.16,0.94,-1.27,595.0,,,29.64,7.72,-8.11,301.8,1.0,q1_q17_dr25_tce,5903.0,79.0,-79.0,3.757,0.078,-0.052,2.499,0.233,-0.311,291.49722,42.728481,10.775
3194,6266741,K00508.02,Kepler-170 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.6658994,2.97e-05,-2.97e-05,180.20215,0.00145,-0.00145,0.429,0.042,-0.399,4.1934,0.0544,-0.0544,754.2,13.4,-13.4,2.85,0.44,-0.16,702.0,,,57.31,24.71,-10.15,60.8,2.0,q1_q17_dr25_tce,5674.0,103.0,-114.0,4.446,0.034,-0.128,1.032,0.159,-0.057,284.52118,41.629601,14.387
3195,6381846,K00509.01,Kepler-171 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.16696628,4.067e-06,-4.067e-06,169.715517,0.000744,-0.000744,0.022,0.315,-0.022,2.7535,0.0249,-0.0249,877.7,12.2,-12.2,2.74,0.34,-0.22,1053.0,,,291.34,97.66,-59.91,80.1,1.0,q1_q17_dr25_tce,5456.0,81.0,-81.0,4.45,0.072,-0.096,0.943,0.115,-0.077,296.77191,41.755539,14.883
3196,4367854,K02876.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.535224793,1.251e-06,-1.251e-06,131.73629,0.00245,-0.00245,0.017,0.405,-0.017,3.3402,0.0703,-0.0703,228.7,6.1,-6.1,1.09,0.1,-0.12,1783.0,,,2385.75,848.13,-680.45,48.8,2.0,q1_q17_dr25_tce,5044.0,151.0,-136.0,4.551,0.078,-0.048,0.738,0.072,-0.079,292.37903,39.435841,14.937
3197,6381846,K00509.02,Kepler-171 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.46347165,1.706e-05,-1.706e-05,137.38521,0.00124,-0.00124,0.103,0.302,-0.103,2.599,0.0396,-0.0396,1048.6,20.1,-20.1,3.0,0.37,-0.24,752.0,,,75.57,25.34,-15.54,56.5,2.0,q1_q17_dr25_tce,5456.0,81.0,-81.0,4.45,0.072,-0.096,0.943,0.115,-0.077,296.77191,41.755539,14.883
3198,6381846,K00509.03,Kepler-171 d,CONFIRMED,FALSE POSITIVE,0.0,0,1,0,0,39.6034,0.000269,-0.000269,168.07114,0.00532,-0.00532,0.166,0.294,-0.166,6.487,0.15,-0.15,572.7,23.1,-23.1,2.22,0.27,-0.18,497.0,,,14.47,4.84,-2.98,25.8,3.0,q1_q17_dr25_tce,5456.0,81.0,-81.0,4.45,0.072,-0.096,0.943,0.115,-0.077,296.77191,41.755539,14.883
