# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jul 26 22:47:20 2024
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
#
loc_rowid,kepid,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2
1,10797460,CANDIDATE,9.488035570,2.7750000e-05,-2.7750000e-05,170.5387500,2.160000e-03,-2.160000e-03,2.95750,0.08190,-0.08190,6.1580e+02,1.950e+01,-1.950e+01
2,10797460,CANDIDATE,54.418382700,2.4790000e-04,-2.4790000e-04,162.5138400,3.520000e-03,-3.520000e-03,4.50700,0.11600,-0.11600,8.7480e+02,3.550e+01,-3.550e+01
3,10811496,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,175.8502520,5.810000e-04,-5.810000e-04,1.78220,0.03410,-0.03410,1.0829e+04,1.710e+02,-1.710e+02
4,10848459,FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,170.3075650,1.150000e-04,-1.150000e-04,2.40641,0.00537,-0.00537,8.0792e+03,1.280e+01,-1.280e+01
5,10854555,CANDIDATE,2.525591777,3.7610000e-06,-3.7610000e-06,171.5955500,1.130000e-03,-1.130000e-03,1.65450,0.04200,-0.04200,6.0330e+02,1.690e+01,-1.690e+01
6,10872983,CANDIDATE,11.094320540,2.0360000e-05,-2.0360000e-05,171.2011600,1.410000e-03,-1.410000e-03,4.59450,0.06100,-0.06100,1.5175e+03,2.420e+01,-2.420e+01
7,10872983,CANDIDATE,4.134435120,1.0460000e-05,-1.0460000e-05,172.9793700,1.900000e-03,-1.900000e-03,3.14020,0.06730,-0.06730,6.8600e+02,1.870e+01,-1.870e+01
8,10872983,CANDIDATE,2.566588970,1.7810000e-05,-1.7810000e-05,179.5543700,4.610000e-03,-4.610000e-03,2.42900,0.16500,-0.16500,2.2650e+02,1.680e+01,-1.680e+01
9,6721123,FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,132.2505300,2.530000e-03,-2.530000e-03,5.02200,0.13600,-0.13600,2.3370e+02,5.800e+00,-5.800e+00
10,10910878,CANDIDATE,16.068646740,1.0880000e-05,-1.0880000e-05,173.6219370,5.170000e-04,-5.170000e-04,3.53470,0.02410,-0.02410,4.9143e+03,3.330e+01,-3.330e+01
11,11446443,CANDIDATE,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00
12,10666592,CANDIDATE,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00
13,6922244,CANDIDATE,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00
14,10984090,CANDIDATE,3.709214104,6.5360000e-06,-6.5360000e-06,133.9831800,1.430000e-03,-1.430000e-03,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00
15,10419211,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,170.8396880,1.310000e-04,-1.310000e-04,3.63990,0.01140,-0.01140,1.7984e+04,3.190e+01,-3.190e+01
16,10464078,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,172.4842530,8.420000e-04,-8.420000e-04,12.21550,0.05980,-0.05980,8.9187e+03,5.330e+01,-5.330e+01
17,10480982,FALSE POSITIVE,19.221388942,1.1230000e-06,-1.1230000e-06,184.5521637,4.500000e-05,-4.500000e-05,4.79843,0.00235,-0.00235,7.4284e+04,2.190e+01,-2.190e+01
